time,category,p90_forecast,stock,shortfall,alert,actual_demand
2026-07-05 18:00:00,cold_drinks,218.5,300,0.0,0,174.0
2026-07-05 18:00:00,tea,262.6,200,88.9,1,231.0
2026-09-20 14:00:00,cold_drinks,248.2,300,0.0,0,
2026-09-20 14:00:00,tea,189.0,200,7.9,1,
2026-09-20 14:00:00,cold_drinks,248.2,300,0.0,0,
2026-09-20 14:00:00,tea,189.0,200,7.9,1,
2026-09-20 15:00:00,cold_drinks,267.7,300,0.0,0,
2026-09-20 15:00:00,tea,212.8,200,34.1,1,
2026-09-20 15:00:00,cold_drinks,267.7,300,0.0,0,
2026-09-20 15:00:00,tea,212.8,200,34.1,1,
2026-09-20 15:00:00,cold_drinks,267.7,300,0.0,0,
2026-09-20 15:00:00,tea,212.8,200,34.1,1,
2026-09-20 15:00:00,cold_drinks,267.7,300,0.0,0,
2026-09-20 15:00:00,tea,212.8,200,34.1,1,
2026-09-20 19:00:00,cold_drinks,196.1,300,0,0,
2026-09-20 19:00:00,tea,153.4,200,0,0,
2026-09-20 19:00:00,cold_drinks,196.1,300,0,0,
2026-09-20 19:00:00,tea,153.4,200,0,0,
2026-09-20 19:00:00,cold_drinks,196.1,300,0,0,
2026-09-20 19:00:00,tea,153.4,200,0,0,
2026-09-20 19:00:00,cold_drinks,196.1,300,0,0,
2026-09-20 19:00:00,tea,153.4,200,0,0,
